TOTAL MSG COUNT,MSG 21 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum ,Time Stamp (seconds),GPS Week ,GPS Seconds ,GPS Sec. (Fraction) (seconds),Spare ,FOM ,TFOM ,Mode ,Latitude (deg),Longitude (deg),MSL Altitude (meters),Absolute Altitude (meters),Velocity N (meters/sec),   Velocity E (meters/sec),Velocity D (meters/sec),Acceleration N (meters/sec2),Acceleration E (meters/sec2),Acceleration D (meters/sec2),Roll (radians),Pitch (radians),Heading (radians),Roll Rate (radians/sec),Pitch Rate (radians/sec),Heading Rate (radians/sec),
51,15,15,'0x81FF',21,84,'0x9C55',         11.09887695,1513,11,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,16,16,'0x81FF',21,84,'0x8C54',         12.09887695,1513,12,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,17,17,'0x81FF',21,84,'0x7C53',         13.09887695,1513,13,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,18,18,'0x81FF',21,84,'0x6C52',         14.09887695,1513,14,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,19,19,'0x81FF',21,84,'0x5C51',         15.09887695,1513,15,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,20,20,'0x81FF',21,84,'0x4C4F',         16.09887695,1513,16,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,21,21,'0x81FF',21,84,'0x3C4E',         17.09887695,1513,17,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,22,22,'0x81FF',21,84,'0x2C4D',         18.09887695,1513,18,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,23,23,'0x81FF',21,84,'0x1C4C',         19.09887695,1513,19,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,24,24,'0x81FF',21,84,'0xC4B',         20.09887695,1513,20,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,25,25,'0x81FF',21,84,'0xFC4A',         21.09887695,1513,21,       0.09899999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
