TOTAL MSG COUNT,MSG 26 COUNT,THIS CSV MSG COUNT,Synch ,Message ID ,Byte Count ,Checksum , Time Stamp (seconds), GPS Week , GPS Seconds (second), GPS Sec. (Fraction) (second), Delta_Vel_X (m/sec), Delta_Vel_Y (m/sec), Delta_Vel_Z (m/sec), Delta_Att_X (rad/sec), Delta_Att_Y (rad/sec), Delta_Att_Z (rad/sec), Lever_Arm_X (meter), Lever_Arm_Y (meter), Lever_Arm_Z (meter), Acc_Bias_X (ug), Acc_Bias_Y (ug), Acc_Bias_Z (ug), Gyro_Bias_X (deg/hr), Gyro_Bias_Y (deg/hr), Gyro_Bias_Z (deg/hr), Acc_Scale_Fac_X (ppm), Acc_Scale_Fac_Y (ppm), Acc_Scale_Fac_Z (ppm),Gyro_Scale_Fac_X (ppm),Gyro_Scale_Fac_Y (ppm),Gyro_Scale_Fac_Z (ppm),Mounting_Angle_X (degrees),Mounting_Angle_Y (degrees),Mounting_Angle_Z (degrees),Comp_delta_vel_X (m/s),Comp_delta_vel_Y (m/s),Comp_delta_vel_Z (m/s),Base_Accel_SF_X (ppm),Base_Accel_SF_Y (ppm),Base_Accel_SF_Z (ppm),Base_Gyro_SF_X (ppm),Base_Gyro_SF_Y (ppm),Base_Gyro_SF_Z (ppm),Align_Heading (degree),Align_Pitch (degree),Align_Roll (degree),ECEF POS_X (m),ECEF POS_Y (m),ECEF POS_Z (m),VEL_N (m/s),VEL_E (m/s),VEL_D (m/s),ACC_N (m/s^2),ACC_E (m/s^2),ACC_D (m/s^2),Heading (degree),Pitch (degree),Roll (degree),Heading Rate (degree),Pitch Rate (degree),Roll Rate (degree),Checksum Failure Count ,IMU Health ,Spare1 ,Comp delta Vector Valid ,IMU Health Out Latch ,Mounting Angle Valid ,IMU Valid ,Platform Valid ,IMU Make ,Platform ,Align Command ,Align Method ,Align Status ,Align Mode ,Attitude Data Avail ,Heading Data Avail ,Velocity Data Avail ,In Motion Valid ,Ready to Align ,Need To Align ,Spare ,Filter Hold Control ,Filter Sub Mode ,Filter Mode ,Lever Arm Enable ,INS State ,Tracker Aiding Enable ,Tracker Static Aiding ,Sim Perfect IMU ,ZUPT control ,Spare , MSec Fraction (second),TOA (millsecond),IMU System Time ,Comp_delta_att_X (rad/s),Comp_delta_att_Y (rad/s),Comp_delta_att_Z (rad/s),
198,28,28,'0x81FF',26,312,'0xBF74',         7.098876953,1513,6,        0.1699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
202,29,29,'0x81FF',26,312,'0xF203',         8.098876953,1513,7,        0.1899999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
206,30,30,'0x81FF',26,312,'0x2491',         9.098876953,1513,8,                0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
210,31,31,'0x81FF',26,312,'0x571F',         10.09887695,1513,9,                0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
214,32,32,'0x81FF',26,312,'0x89AD',         11.09887695,1513,10,                0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
218,33,33,'0x81FF',26,312,'0xBC3C',         12.09887695,1513,11,                0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
222,34,34,'0x81FF',26,312,'0xEECA',         13.09887695,1513,12,                0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
226,35,35,'0x81FF',26,312,'0x2158',         14.09887695,1513,13,        0.3100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
230,36,36,'0x81FF',26,312,'0x53E7',         15.09887695,1513,14,        0.3300000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
234,37,37,'0x81FF',26,312,'0x8674',         16.09887695,1513,15,        0.3500000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,      0.001862645033,      0.001862645033,      0.001862645033,    2.910383046e-005,    2.910383046e-005,    2.910383046e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,                   0,0,0,0,0,0,
